LapID,RunOrder,CarNumber,CarName,StartTime,FinishTime,MissCourseCount,PylonTouchCount,TwoWheelOffCourseCount,FourWheelOffCourseCount,LapTime,PenaltyTime,TotalLapTime,LapTimeString,TotalLapTimeString,Note
1785620120393-424696801522.865739-1785627353368,1,M1,ミツビシ　ランサーEvo,1785627353366,1785627410041,0,0,0,0,56675,0,56675,56.675,56.675,
1785620120393-424696801522.865739-1785627438198,2,M4,スバル　インプレッサWRX STI,1785627438198,1785627496267,0,0,0,0,58069,0,58069,58.069,58.069,
1785620120393-424696801522.865739-1785627569180,3,M2,アルピーヌ　A110,1785627569180,1785627627104,0,0,0,0,57924,0,57924,57.924,57.924(PG),PG
1785620120393-424696801522.865739-1785627623556,4,M3,マツダ　ロードスター,1785627623555,1785627686621,0,0,0,0,63066,0,63066,1’03.066,1’03.066(PG),PG
1785620120393-424696801522.865739-1785627886260,5,1,マツダ ロードスターRF,1785627886260,1785627947510,0,0,0,0,61250,0,61250,1’01.250,1’01.250,
1785620120393-424696801522.865739-1785628017348,6,1,マツダ ロードスターRF,1785628017348,1785628077597,0,0,0,0,60249,0,60249,1’00.249,1’00.249,
1785620120393-424696801522.865739-1785628072248,7,4,アルファロメオ 156,1785628072248,1785628154972,0,0,0,0,82724,0,82724,1’22.724,1’22.724,
1785620120393-424696801522.865739-1785628394380,8,2,マツダ ロードスター,1785628394379,1785628464372,0,0,0,0,69993,0,69993,1’09.993,1’09.993,
1785620120393-424696801522.865739-1785628459060,9,6,ホンダ フィット,1785628459060,1785628538011,0,0,0,0,78951,0,78951,1’18.951,1’18.951,
1785620120393-424696801522.865739-1785628536652,10,3,マツダ RX-8,1785628536652,1785628600980,0,0,0,0,64328,0,64328,1’04.328,1’04.328,
1785620120393-424696801522.865739-1785628598212,11,4,アルファロメオ 156,1785628598212,1785628673164,0,0,0,0,74952,0,74952,1’14.952,1’14.952,
1785620120393-424696801522.865739-1785628670061,12,8,ホンダ インテグラ,1785628670061,1785628733820,1,0,1,0,63759,5000,68759,1’03.759,1’03.759(MC)(2脱:1),
1785620120393-424696801522.865739-1785628742693,13,10,ニッサン フェアレディZ,1785628742692,1785628826020,1,0,0,0,83328,0,83328,1’23.328,1’23.328(MC),
1785620120393-424696801522.865739-1785628827260,14,9,アバルト595,1785628827260,1785628889036,0,0,0,0,61776,0,61776,1’01.776,1’01.776,
1785620120393-424696801522.865739-1785628890101,15,2,マツダ ロードスター,1785628890100,1785628958652,0,0,0,0,68552,0,68552,1’08.552,1’08.552,
1785620120393-424696801522.865739-1785628957935,16,6,ホンダ フィット,1785628957934,1785629027996,0,0,0,0,70062,0,70062,1’10.062,1’10.062,
1785620120393-424696801522.865739-1785629023364,17,3,マツダ RX-8,1785629023364,1785629086471,0,0,0,0,63107,0,63107,1’03.107,1’03.107,
1785620120393-424696801522.865739-1785629085072,18,9,アバルト595,1785629085072,1785629144860,0,0,0,0,59788,0,59788,59.788,59.788,
1785620120393-424696801522.865739-1785629144022,19,10,ニッサン フェアレディZ,1785629144022,1785629221268,0,0,0,1,77246,0,77246,1’17.246,1’17.246(4脱),
1785620120393-424696801522.865739-1785629221468,20,5,スバル BRZ,1785629221468,1785629289606,1,0,0,0,68138,0,68138,1’08.138,1’08.138(MC),
1785620120393-424696801522.865739-1785629315860,21,8,ホンダ インテグラ,1785629315860,1785629377196,1,0,0,0,61336,0,61336,1’01.336,1’01.336(MC),
1785620120393-424696801522.865739-1785629381028,22,5,スバル BRZ,1785629381028,1785629442129,1,0,0,0,61101,0,61101,1’01.101,1’01.101(MC),
1785620120393-424696801522.865739-1785629461862,23,12,スズキ スイフト,1785629461862,1785629520588,0,0,0,0,58726,0,58726,58.726,58.726,
1785620120393-424696801522.865739-1785629519381,24,20,マツダ　ロードスター,1785629519381,1785629581652,0,0,0,0,62271,0,62271,1’02.271,1’02.271,
1785620120393-424696801522.865739-1785629578404,25,15,ダイハツ コペン,1785629578404,1785629648020,1,0,0,0,69616,0,69616,1’09.616,1’09.616(MC),
1785620120393-424696801522.865739-1785629644301,26,17,ホンダ シビック,1785629644300,1785629713956,0,1,0,1,69656,5000,74656,1’09.656,1’09.656(PT:1)(4脱),
